标题,地址,小区,户型,面积,楼层,月租,出租类型,朝向,有无电梯,地铁
魏公村 地质力学研究所 北京舞蹈学院南门 李四光纪念馆,海淀-魏公村 民族大学南路11号,民族大学南路11号院,3室1厅,15平米,高层(共6层),3500,合租,朝南,有,9/16号线/4号线大兴线
丽泽商务区 东管头 北京西站南路 丽泽雅园 精图小区次卧出租,丰台-太平桥 丽源路56号,精图小区,3室1厅,18平米,低层(共6层),1900,合租,朝南,无,9/10/14号线
"温暖又温心,西山甲一号精装修4室真的给你不一样的感受",丰台-长辛店 长顺二路,西山甲一号,4室2厅,141.2平米,高层(共13层),10000,整租,南北,有,14号线
五棵松 大成路青塔蔚园 大次卧出租,丰台-青塔 青塔西路,青塔蔚园,3室1厅,15平米,中层(共6层),2000,合租,朝南,无,无
亦庄经开大厦北工大软件园附近南海雅苑三家合租卧室1600,大兴-亦庄 凉水河路(旧:百意街1号),南海雅苑,3室1厅,20平米,高层(共16层),1600,合租,朝东,有,无
可月付 新宫 南庭新苑 德鑫家园 悦谷家园 翠海名苑 出租,丰台-新宫 槐房西路316号,南庭新苑北区,2室2厅,17平米,高层(共16层),2100,合租,朝南,有,19号线/4号线大兴线
清河小营桥 君安家园 和盈中心 电科院  易点云 新华大厦,海淀-清河 育新花园西路,君安家园(东区),4室1厅,12平米,高层(共20层),1900,合租,朝北,有,8号线
年底特价白纸坊桥 鹏润家园 鸭子桥 朝南单间 有阳台 有暖气,丰台-菜户营 菜户营甲88号,鹏润家园,2室1厅,18平米,低层(共22层),2400,合租,朝南,有,14号线
可月付！4加19号线新宫御槐园精装主卧 采光好随时看,丰台-新宫 槐房路,御槐园,3室1厅,18平米,中层(共16层),1780,合租,朝南,无,19号线/4号线大兴线
六号线 通州北关 电梯房三居室  家具齐全 随时看房,通州-北关 永顺东里1号,东阁雅舍,3室1厅,91.3平米,高层(共25层),4800,整租,东北,有,6号线
地铁10号线西局 丽泽天地 丽泽景园 主卧带阳台,丰台-丽泽桥 益泽路,丽泽景园,2室1厅,25平米,高层(共27层),2800,合租,朝南,有,9/10/14号线
免租一个月 包网 可月付 紧邻快速公交 屋内干净整洁,门头沟-大峪 黑山大街,龙山家园1号院,3室1厅,22平米,低层(共28层),1600,合租,朝南,有,无
无佣东坝七棵树汇景园小区三家合租次卧现房集中供暖包网络保洁哦,朝阳-东坝 平房路,汇景苑四区,3室0厅,12平米,中层(共18层),1700,合租,朝北,有,无
西二旗软件园后厂路附近快手小米滴滴百度网易房补范围,昌平-龙域 龙域西路2号,融泽嘉园西2号院,3室1厅,20平米,高层(共35层),2200,合租,朝北,有,无
上岸 桥户营站附近 精装超大卧室 家具家电齐全 民水民电,门头沟-永定 曹各庄路34号,西长安壹号(公寓住宅),3室1厅,20平米,高层(共20层),1900,合租,朝北,有,S1线
角门东地铁，西马金润精美次卧，楼层好家数少，包物业取暖费,丰台-角门 马家堡路,西马金润家园,3室1厅,17平米,中层(共6层),1650,合租,朝西,无,8/10号线/8号线南段/4号线大兴线
西二旗 万科金域华府南向一室一厅 随时入住 景观房,昌平-龙域 龙域中路5号,金域华府(一期),1室1厅,63平米,高层(共28层),6500,整租,朝南,有,13号线
将台 东风北桥 电子城创新产业园 兆维工业园三家两厨一位出租,朝阳-酒仙桥 酒仙桥南路,酒仙桥十二街坊,3室1厅,12平米,共5层,2199,合租,朝北,无,14号线
潘家园地铁站 武圣路 金旁 松榆西里便宜正规次卧室出租,朝阳-潘家园 松榆北路34号,松榆西里,3室1厅,16平米,高层(共6层),1999,合租,朝北,无,10/14/17号线
朝阳区地铁一号线管庄站南侧 管庄新村出租精装次卧包网包维修,朝阳-管庄 双桥东路,管庄新村D区,3室1厅,15平米,中层(共20层),1700,合租,朝北,有,八通线
高楼金第 南向开放式一居  带园 精装修 全天阳光不断,通州-土桥 群芳南街,高楼金第,1室1厅,45平米,地下(共29层),2699,整租,朝南,有,7号线/八通线
青年路姚家园飘窗带空调特价出租可短住免水费免佣金,朝阳-姚家园 姚家园东里7号,姚家园东里七号院,4室0厅,10平米,低层(共18层),1500,合租,朝北,有,无
果园地铁附近，巴克寓所，超大主卧带阳台。可月付,通州-果园 怡乐中街99号,巴克寓所,3室1厅,20平米,中层(共6层),1900,合租,朝南,无,八通线
泰禾两室一厅精装修 楼下就是超市 有京东班车地铁17号线,通州-次渠 通马路,泰禾1号街区,2室1厅,95平米,高层(共9层),5300,整租,朝东,有,17号线
14号线 张郭庄地铁站 大井 西局 丽泽商务区 随时看房,丰台-卢沟桥 园博大道,盛德东兴家园(南区),4室1厅,14平米,低层(共20层),1300,合租,朝南,有,无
中关村 西苑医院家属楼 精装合租南向主卧 看房随时,海淀-西苑 万泉河路,西苑操场1号院,3室1厅,13平米,高层(共6层),3600,合租,朝南,无,无
合租 精装次卧 沙河 巩华家园  通勤朱辛庄 回龙观 西二旗,昌平-沙河 顺沙路8号,巩华家园东一村,2室1厅,15平米,低层(共18层),1550,合租,朝南,有,昌平线
大兴万科天地 精装4室1厅3卫家电齐全办公注册随时看房,大兴-兴华大街 兴华大街三段67号,万科天地(二期),4室1厅,200平米,共4层,9800,整租,南北,有,4号线大兴线
角门东地铁，西马金润精美次卧，楼层好家数少，包物业取暖费,丰台-角门 马家堡路,西马金润家园,3室1厅,17平米,中层(共6层),1650,合租,朝西,无,8/10号线/8号线南段/4号线大兴线
魏公村 地质力学研究所 北京舞蹈学院南门 李四光纪念馆,海淀-魏公村 民族大学南路11号,民族大学南路11号院,3室1厅,15平米,高层(共6层),3500,合租,朝南,有,9/16号线/4号线大兴线
京旺家园三区 2室1厅1卫 配套齐全 18平 电梯房,朝阳-朝阳周边 金港南路,京旺家园三区,2室1厅,18平米,高层(共11层),1600,合租,朝北,有,无
潘家园地铁站 武圣路 金旁 松榆西里便宜正规次卧室出租,朝阳-潘家园 松榆北路34号,松榆西里,3室1厅,16平米,高层(共6层),1999,合租,朝北,无,10/14/17号线
六号线 通州北关 电梯房三居室  家具齐全 随时看房,通州-北关 永顺东里1号,东阁雅舍,3室1厅,91.3平米,高层(共25层),4800,整租,东北,有,6号线
梨园附近万盛东地铁站精装修一居室采光好,通州-梨园 曹园南街,永丰里D区,1室1厅,57平米,中层(共15层),3200,整租,朝南,有,7号线
翡翠四季三期精装平层 低价出租,通州-次渠 站前街南四街,万科翡翠四季(公寓住宅),4室2厅,123平米,高层(共15层),10000,整租,南北,有,17号线
地铁10号线西局 丽泽天地 丽泽景园 主卧带阳台,丰台-丽泽桥 益泽路,丽泽景园,2室1厅,25平米,高层(共27层),2800,合租,朝南,有,9/10/14号线
立水桥北苑中东路58号院小区，和立方北京北包物业取暖费可月付,昌平-立水桥 中东路58号,中东路58号院,3室1厅,19平米,中层(共28层),1750,合租,朝南,有,5/13号线
（实拍） 主卧 南向 精装修 家电齐全 石门站400M,顺义-石门 顺于路,宏城花园,3室1厅,15平米,中层(共6层),1800,合租,朝南,无,15号线
看房随时 价格便宜 紧邻地铁 精美装修 舒适宜居,通州-北关 新华北路,世界侨商中心,1室1厅,42.5平米,高层(共27层),3599,整租,朝北,有,6号线
1号线古城地铁口 古城公园古城步行街次卧全新家具家电看房随时,石景山-古城 古城公园西街,古城公园北小区,3室1厅,18平米,低层(共6层),1600,合租,朝北,无,1号线
科技园 看丹桥  韩韩庄西里单间,丰台-看丹桥 丰台南路,韩庄子西里,3室1厅,18平米,中层(共6层),1980,合租,朝北,无,9号线
将台 东风北桥 电子城创新产业园 兆维工业园三家两厨一位出租,朝阳-酒仙桥 酒仙桥南路,酒仙桥十二街坊,3室1厅,12平米,共5层,2199,合租,朝北,无,14号线
西二旗软件园后厂路附近快手小米滴滴百度网易房补范围,昌平-龙域 龙域西路2号,融泽嘉园西2号院,3室1厅,20平米,高层(共35层),2200,合租,朝北,有,无
兴政西里 精装修卧室 家电齐全 温馨舒适 交通便利 随时看房,大兴-黄村 兴华大街,兴政西里,3室1厅,78.2平米,高层(共6层),4600,整租,南北,无,4号线大兴线
朝阳区地铁一号线管庄站南侧 管庄新村出租精装次卧包网包维修,朝阳-管庄 双桥东路,管庄新村D区,3室1厅,15平米,中层(共20层),1700,合租,朝北,有,八通线
田村大主卧 橡胶院乐府江南 半壁店 六号线 永景园 永定路,海淀-田村 田村路40号,橡胶研究设计院家属院,3室1厅,18平米,高层(共6层),2300,合租,朝南,无,6号线
六号线 乔庄社区 运乔嘉园精装好房 次卧 随时能看,通州-运河大街 运河西大街,运乔嘉园,3室1厅,15平米,中层(共6层),1199,合租,朝北,无,无
14号线 张郭庄地铁站 大井 西局 丽泽商务区 随时看房,丰台-卢沟桥 园博大道,盛德东兴家园(南区),4室1厅,14平米,低层(共20层),1300,合租,朝南,有,无
免租一个月 包网 可月付 紧邻快速公交 屋内干净整洁,门头沟-大峪 黑山大街,龙山家园1号院,3室1厅,22平米,低层(共28层),1600,合租,朝南,有,无
特价！丽泽商务区旁，盛景园三家合租朝南主卧，可随时入住可短住,丰台-丽泽桥 柳村路6号,万泉盛景园,3室1厅,20平米,低层(共28层),2000,合租,朝南,有,10/14号线/房山线
青年路姚家园飘窗带空调特价出租可短住免水费免佣金,朝阳-姚家园 姚家园东里7号,姚家园东里七号院,4室0厅,10平米,低层(共18层),1500,合租,朝北,有,无
免佣金 可月付广安门内 宣武门医院 牛街小区 出租三家合住,西城-牛街 牛街,牛街西里一区,3室1厅,10平米,中层(共25层),2100,合租,朝东,无,2/7/19号线/4号线大兴线
新上富力运河十号精装三居两卫看房随时，6好线北运河西地铁站,通州-新华大街 江米店街2号,富力运河十号小区,3室2厅,115平米,中层(共45层),8000,整租,南北,有,6号线
果园地铁附近，巴克寓所，超大主卧带阳台。可月付,通州-果园 怡乐中街99号,巴克寓所,3室1厅,20平米,中层(共6层),1900,合租,朝南,无,八通线
西二旗 万科金域华府南向一室一厅 随时入住 景观房,昌平-龙域 龙域中路5号,金域华府(一期),1室1厅,63平米,高层(共28层),6500,整租,朝南,有,13号线
14号线枣营 朝阳公园 金台路 六里屯 甜水园 秀水园小区,朝阳-甜水园 甜水园街,秀水园小区,3室1厅,15平米,低层(共18层),2600,合租,朝南,有,6/10/14号线
天通苑北一区精装大次卧出租,昌平-天通苑 太平庄中二街,天通苑北一区,3室1厅,10平米,低层(共10层),1180,合租,朝南,有,5号线
朝阳公园 团结湖  秀水园三居 带客厅 带阳台出租,朝阳-甜水园 甜水园街,秀水园小区,3室1厅,122.5平米,高层(共6层),8800,整租,南北,无,6/10/14号线
便宜甩租可短组月付物资学院 北关 富力惠兰美居次卧 无中介费,通州-潞苑 朝阳北路,富力惠兰美居(E区),3室1厅,12平米,低层(共21层),1100,合租,朝东,有,无
北坞嘉园 南北通透（精装一居）随时看房,海淀-西苑 茶棚路,北坞嘉园西里,1室1厅,58平米,低层(共6层),5500,整租,南北,无,西郊线
鲁谷 永乐 万达旁 地铁附近 眼科医院 泰禾新天地 干净整洁,石景山-鲁谷 鲁谷大街,鲁谷永乐西区,3室1厅,13平米,中层(共6层),1900,合租,朝北,无,1号线
北关地铁6号线雅颂居高层电梯两居，南向家具电器齐全随时入住,通州-潞苑 潞苑二街,中建雅颂居,2室2厅,88平米,高层(共22层),3600,整租,朝南,有,无
国贸CBD团结湖东直门工体三里屯两居阳台电梯可月租！可月租！,朝阳-团结湖 农展馆南路,农展南里社区,2室1厅,65平米,低层(共16层),7500,整租,朝南,无,10/14号线
亦庄新城马驹桥开国风美仑3居室出租 南北通透 电梯房 精装,通州-马驹桥 兴贸二街,首开国风美仑,3室2厅,121.2平米,中层(共16层),5900,整租,南北,有,无
实拍现房！望京三里屯东坝 利锦府精装小复式 落地窗上下双卫,朝阳-东坝 东坝中街,利锦府,1室1厅,55平米,高层(共10层),6500,整租,朝南,有,无
免中介费 月付  荣嘉园  单间 1500月 拎包住 电梯房,东城-永定门 西革新里116号,百荣嘉园,3室1厅,10平米,中层(共26层),1500,合租,朝东,有,8/14号线/8号线南段/4号线大兴线
花园北路36号院中兴大厦北医三院塔院附近合租的主卧随时看,海淀-牡丹园 花园北路36号,花园北路36号院,3室1厅,15平米,低层(共6层),2700,合租,朝南,无,10/19号线
三山新新家园新出主卧阳台，随时看房随时入住,顺义-后沙峪 火沙路,三山新新家园,3室1厅,20平米,低层(共6层),2000,合租,朝南,无,无
短期给钱就租6号线北运河东站精美主卧飘窗单间大阳台嘎嘎,通州-潞城 紫运东路,紫运中路28号院,3室1厅,19平米,高层(共27层),1500,合租,朝南,有,6号线
北三环国展 静安庄 静安中心 燕丰商场 西坝河南里 带阳台,朝阳-西坝河 柳芳北街,西坝河南里小区,3室2厅,15平米,低层(共25层),2200,合租,朝东,有,5/10/13号线
云翔嘉苑 3室1厅1卫 南北通透 配套齐全 电梯房,门头沟-永定 龙林路,云翔嘉苑,3室1厅,15平米,低层(共24层),1350,合租,朝南,有,S1线
马驹桥 合生世界村 精装南向主卧独卫 包物业包取暖 包保洁,通州-通州周边 环景路18号,合生世界村(H区),3室1厅,20平米,高层(共17层),1600,合租,朝南,有,无
欢乐谷，金蝉里，地铁口700米，朝西，有阳光，限一人，随时看,朝阳-欢乐谷 垡头西街,金蝉里,4室2厅,13平米,高层(共21层),1800,合租,西南,有,7号线
三元桥 左家庄 豪成大厦 左家庄南里两居次卧 全女士合住出租,朝阳-国展 左家庄西街,左家庄南里,2室1厅,15平米,高层(共6层),3000,合租,南北,无,10/13号线/首都机场线
随时看房入住 南向观景房 价格便宜 高楼层好视野,通州-北关 新华北路,保利大都汇,1室1厅,48.2平米,高层(共18层),4800,整租,东南,有,6号线
科技园附近精装次卧出租,丰台-世界公园 京垡路,康润家园东区,3室2厅,18平米,高层(共21层),1700,合租,朝北,有,无
出租 沙河地铁旁500米 精装修 包物业取暖  家具家电齐全,昌平-沙河 于辛庄路,于辛家园,2室1厅,98平米,高层(共6层),3800,整租,南北,无,昌平线
6号线地铁北关胸科医院爱琴海万达家和园精装次卧可短住可月付,通州-永顺 永顺北街,家和园(通州),3室1厅,15平米,低层(共13层),1400,合租,朝北,有,6号线
旧宫地铁站 清逸园 无中介费 步梯2楼  随时看房 即可入住,大兴-旧宫 旧宫东路74号,清逸园(东区),3室1厅,15平米,低层(共6层),1399,合租,朝南,无,亦庄线
